0001,04/05/2026,ENTRADA,
0002,05/05/2026,ENTRADA,entro algo
0003,05/05/2026,SALIDA,se los robaron
0004,05/05/2026,SALIDA,salio
0005,05/05/2026,ENTRADA,salio
0006,05/05/2026,AJUSTE,salio
0007,05/05/2026,ENTRADA,esque entro
0008,06/05/2026,ENTRADA,se compro
0009,06/05/2026,ENTRADA,Entrada prueba
0010,06/05/2026,SALIDA,Es una Salida de prueba
0011,06/05/2026,AJUSTE,Es una prueba
0012,06/05/2026,ENTRADA,
0013,06/05/2026,ENTRADA,se rompio
0014,06/05/2026,AJUSTE,prueba de numeros negativos
0015,06/05/2026,ENTRADA,compras
0016,06/05/2026,ENTRADA,
0017,06/05/2026,ENTRADA,llego pedido
0018,06/05/2026,ENTRADA,Prueba de entrada
0019,06/05/2026,SALIDA,Prueba de salida
0020,06/05/2026,AJUSTE,esto es una prueba de ajuste
0021,06/05/2026,ENTRADA,
0022,06/05/2026,SALIDA,
0023,06/05/2026,SALIDA,
0024,06/05/2026,ENTRADA,
0025,06/05/2026,ENTRADA,
0026,07/05/2026,ENTRADA,
